chunk1,chunk2,vector
The terminal to a negative terminal.,between the terminals,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
is connected,is no gap,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
are,are,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Bulb A, bulb B and bulb C",A and C,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
in different closed paths.,in different paths,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,are contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
when,When,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a closed path,in the same path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
the switch with the bulb,the switch and the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the bulb with a switch,the switch and the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is contained,are contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in the same path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
if,When,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
as the battery,containing the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the same closed path,in the closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the blub,The bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not contained,is not,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the two terminals,at the terminals,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
different electrical states.,different electrical states,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the circuit path incomplete.,an incomplete circuit,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
the positive battery terminal,Terminal 1 and the positive terminal,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
by a gap,by the gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is separated,are separated,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed circuit,in the same closed path,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
were,were,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
contained,contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
B and C,Bulb B and Bulb C,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
with the battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulbs A and C,A and C,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
are not contained,are not,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the same closed path.,in the same path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
terminal 1 to terminal 4,Terminals 1 and 4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with the battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulb b and c,Bulb B and Bulb C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
were,were contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in the same closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
B AND C,B and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A,A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
SHARE,containing,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
IS,containing,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
ON ITS ON PATH,a path,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A PATH,a different path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
the circut is not complete,an incomplete circuit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
containing,containing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a closed circuit,a closed path,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
a bulb and a battery,the bulb and a battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a bulb and a battery,both,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The battery,The battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
that,which,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,is contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
does not contain,does not contain,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
any other components.,any other components,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Terminal 4 to the positive battery terminal.,Terminal 4 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
by a gap,by the gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
was not separted,are not separated,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the batter termnal from terminal,Terminal 4 and the positive terminal,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
"""Without A,","If bulb A burns out,","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
"no closed path""",in a closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
the terminals,Terminal 1 and the positive terminal,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
on a different path,in a closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
bulb A,Bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,is contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"in the same closed path,",in the same path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
if,When,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
are contained,are contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a bulb and a switch,the switch and the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not seperated,are not separated,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The positive terminal,Terminal 4 and the positive terminal,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
from the gap,by the gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the path,no path,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Switch Y of bulb A.,switch Y and bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Switch Y of bulb A.,both,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not,is,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
in the same path,in a closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
of bulb a.,Bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the positive battery terminak from terminal 4,Terminal 4 and the positive battery terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
has shorted out,is a short circuit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a positive and negative connection,is connected to the negative battery terminal,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
the positive terminal and negative terminal,at the terminals,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
is no closed path,the path is not closed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are not connected,are not connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The terminals,Terminals 1 and 6,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
with the battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed circuit,in a closed path,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
was,is contained,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
bulb a,Bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"damaged,","damaged,","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
ae contained,are,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
if,If,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the bulb A and B,A and B,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
C,C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,is,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are not connected,are not connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the positive battery terminal and terminal 1,Terminal 1 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a closed circuit,in the same closed path,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
terminal one to a positive battery terminal,Terminal 1 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are separated,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
was a gap in the connection,are separated by the gap,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
and,and,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulbs B and C,B and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bulb A,A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on its own closed path,a path,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
is,containing,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
are,containing,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
on the same closed path,a different path,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
were,are contained,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
with the battery,with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on closed paths,in closed paths,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bulbs A and C,Bulbs A and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not connected,are not connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the terminal to the positive battery terminal,Terminal 1 and the positive terminal,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
the terminal to the battery,terminal 1 to the negative battery terminal,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
is connected,is connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,is,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The battery,the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in an open path,in an open path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a gap,a gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A damaged bulb,a damaged bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
creates,creates,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the positive battery current,to the positive battery terminal,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
of the gap,by a gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
between the two battery terminals,at the terminals,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
the electrical states,different electrical states,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
voltage,different electrical states,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
a battery,A battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
have connection,are in a closed path,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
switch Y and Z to bulb A.,"A, C, Z and X","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
connected,a path,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
The battery and the bulb,the bulb and the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
must be,are,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
was,is,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
no gap,no gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
There,There,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
between terminal 6 and the positive terminal.,between terminal 6 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
were,are contained,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a closed path,in closed paths,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
with the battery,with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulb a and bulb c,Bulbs A and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the bulb,the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
if,If,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
will be off,affects,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
the path,in the same path,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
with itself.,does not contain any other components,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
is,is contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,which,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the battery,The battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulb a,Bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with the battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
was,was contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in the same closed path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
the terminals,the terminals,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are not connected,are not connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,are contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
if,When,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
on the same path,in the same path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the swithch the bulb,the switch and the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The ppositive battery terminal in terminal 6.,Terminal 6 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for bulb a and c,Bulbs A and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a gap in the path,in closed paths,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
terminal one to terminal six,Terminals 1 and 6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not connected,are not connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gap,by a gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is,is,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulb a,bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the negative side of the battery.,to the negative battery terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the terminals,"Terminals 1, 2 and 3","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
is connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Terminal 4 to the positve battery terminal,Terminal 4 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the pathway.,a path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
was,is,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
there,there,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with the battery.,with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are,are,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in separate closed paths,in different paths,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bulbs a and c,A and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
need to be,are,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
The battery and bulb,the bulb and the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
terminal 1 and terminal 4,Terminals 1 and 4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
If,If,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
affects,affects,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the switch,the switch,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
a bulb.,the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the path,in the same path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
"to the battery,",a bulb and a switch,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
the circut,the path,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
is no longer closed.,is not closed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the gap,a chemical reaction,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
a difference in electrical states,different electrical states,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
"""the battery terminals",the battery,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
The positive battery terminal from terminal 4.,Terminal 4 and the positive battery terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a gap,by a gap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the positive battery terminal from terminal 4,Terminal 4 and the positive battery terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
terminal 1 and 4,Terminals 1 and 4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the two terminals,Terminals 1 and 4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
are connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
from bulb,Bulb A,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
to battery,with the battery.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
are,are,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in closed paths.,in closed paths,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bulb B and bulb C,bulbs B and C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,which,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
without another component.,does not contain any other components,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The battery,The battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is contaied,is contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to the battery,with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a closed path,in closed paths,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
without any devices,does not contain any other components,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,which,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is contained,is contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the battery,The battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a closed path,in closed paths,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
contains,are contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
still,still,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the battery and bulb a and bulb c,Bulbs A and C with the battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
that,in closed paths,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Terminal,Terminals 1 and 2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
the same electrical state,in the same electrical state,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is separated,is,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
by a gap,no gap,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
The positive battery terminal from terminal 4.,between terminals 1 and 4,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
the bulb and the switch,the switch and the bulb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
if,When,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
are contained,are contained,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
by a closed path,in the same path,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Terminal 1 and the positive terminal,Terminal 1 and the positive terminal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
different electrical states.,by the gap,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
bulb a,A and B,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
with bulb C,C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
will burn out,"burns out,","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
are connected,are connected,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
terminal 1 and 2,Terminals 1 and 2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a voltage decrease,A non-zero voltage,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
a gap,by a gap.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the closed path,in.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the closed path,a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulb c,C,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not included,is not,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bulb a,bulb A,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
creates a gap,"burns out,","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
between different terminals,the electrical state,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
voltage,voltage,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the burnt out bulb,a damaged bulb.,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in a closed path,in a closed path,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is not contained,is not,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the battery,The battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
between the positive and negative terminals of the battery,in the same electrical state,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
terminals,Terminals 1 and 2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
no short circuit,a chemical reaction,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
to the battery.,A battery,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is connected,are not connected,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Terminal 6 to the positive battery terminal,Terminals 1 and 6,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
a different electrical state,different electrical states,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
